unique_id	claim	scientific_claim	annotator_1	annotator_2	annotator_3	id	evidence	label
1870	Pharmacology deals with the obfuscation of cellular and organismal function in relation to chemicals .	True	1	1	1	62614	Pharmacology , a biomedical science , deals with the research , discovery , and characterization of chemicals which show biological effects and the elucidation of cellular and organismal function in relation to these chemicals .	REFUTES
1964	Species distribution can be understood through factors such as river capture .	False	1	0	0	219161	It is very useful in understanding species distribution through factors such as speciation , extinction , continental drift , glaciation , variation of sea levels , river capture and available resources .	SUPPORTS
1993	Multicellular organisms excludes all animals .	True	1	1	1	161719	All species of animals , land plants and most fungi are multicellular , as are many algae , whereas a few organisms are partially uni - and partially multicellular , like slime molds and social amoebae such as the genus Dictyostelium .	REFUTES
2029	Large parts of North America was periodically covered by Cordilleran Ice Sheet .	True	1	1	1	121545	The Cordilleran ice sheet was a major ice sheet that periodically covered large parts of North America during glacial periods over the last ~ 2.6 million years .	SUPPORTS
2179	Physics ' main goal is to observe the behavior of the universe .	True	1	1	1	138708	One of the most fundamental scientific disciplines , the main goal of physics is to understand how the universe behaves .	REFUTES
2215	Anxiety has been linked with physical symptoms .	True	1	1	1	16387	Furthermore , anxiety has been linked with physical symptoms such as IBS and can heighten other mental health illnesses such as OCD and panic disorder .	SUPPORTS
2232	Simi Valley , California , reported a higher median household income than that of the overall nation in 2012 .	True	1	1	1	183415	The U.S. Census Bureau of 2012 reported a median household income of $ 87,894 , which is higher than the California median of $ 70,231 and the national average of $ 62,527 .	SUPPORTS
2244	The Mormon population has been growing rapidly due to high birth and conversion rates .	True	1	1	1	27403	Due to their high birth and conversion rates , the Mormon population has grown significantly in recent decades .	SUPPORTS
2273	Cordilleran Ice Sheet has a short history of a few years .	True	1	1	1	149038	The Cordilleran ice sheet was a major ice sheet that periodically covered large parts of North America during glacial periods over the last ~ 2.6 million years .	REFUTES
2317	Multicellular organisms include land plants .	True	1	1	1	161710	All species of animals , land plants and most fungi are multicellular , as are many algae , whereas a few organisms are partially uni - and partially multicellular , like slime molds and social amoebae such as the genus Dictyostelium .	SUPPORTS
2338	Pharmacology is classified as a biomedical science .	True	1	0	1	62368	Pharmacology , a biomedical science , deals with the research , discovery , and characterization of chemicals which show biological effects and the elucidation of cellular and organismal function in relation to these chemicals .	SUPPORTS
2345	Dark matter is different from neutrinos .	True	1	1	1	130325	Dark matter is a hypothetical type of matter distinct from baryonic matter -LRB- ordinary matter such as protons and neutrons -RRB- , neutrinos and dark energy .	REFUTES
2379	Doxycycline may not cause vomiting .	True	1	1	1	573	Common side effects include diarrhea , nausea , vomiting , a red rash , and an increased risk of a sunburn .	REFUTES
2384	Dissociative identity disorder is the only name it is known for .	True	1	0	1	47457	Dissociative identity disorder -LRB- DID -RRB- , also known as multiple personality disorder -LRB- MPD -RRB- , is a mental disorder characterized by at least two distinct and relatively enduring identities or dissociated personality states .	REFUTES
2524	Chest pain is one symptom of pulmonary embolism .	True	1	1	1	33214	Symptoms of a PE may include shortness of breath , chest pain particularly upon breathing in , and coughing up blood .	SUPPORTS
2525	Personality is affected by development .	True	1	0	1	147526	Personality is a set of individual differences that are affected by the development of an individual : values , attitudes , personal memories , social relationships , habits , and skills .	SUPPORTS
2539	To test the validity of procedures , research is used .	True	1	0	1	171904	To test the validity of instruments , procedures , or experiments , research may replicate elements of prior projects or the project as a whole .	SUPPORTS
2541	The great white shark prefers to prey on humans .	True	1	1	0	125763	Humans are not the preferred prey of the great white shark , but , nevertheless , the great white is responsible for the largest number of reported and identified fatal unprovoked shark attacks on humans .	REFUTES
2543	Personality is affected by the development of abilities .	True	1	0	1	121683	Personality is a set of individual differences that are affected by the development of an individual : values , attitudes , personal memories , social relationships , habits , and skills .	SUPPORTS
2573	Bonobos ' estimated population is less than 50,000 .	True	1	1	1	45806	There is no concrete data on population numbers , but the estimate is between 29,500 and 50,000 individuals .	SUPPORTS
2621	Great white sharks prefer humans as prey .	True	1	1	1	176628	It is also known to prey upon a variety of other marine animals , including fish and seabirds .	REFUTES
2641	In 2015 , among Americans , more than 50 % of adults had consumed alcoholic drink at some point .	True	1	1	1	124472	For instance , in 2015 , among Americans , 89 % of adults had consumed alcohol at some point , 70 % had drunk it in the last year , and 56 % in the last month .	SUPPORTS
2667	In 2015 , among Americans , 5 % of adults had consumed alcoholic drink in the last month .	True	1	1	1	86131	For instance , in 2015 , among Americans , 89 % of adults had consumed alcohol at some point , 70 % had drunk it in the last year , and 56 % in the last month .	REFUTES
2678	Pulmonary embolism is indicated by low blood oxygen levels .	True	1	1	1	19193	Signs of a PE include low blood oxygen levels , rapid breathing , rapid heart rate , and sometimes a mild fever .	SUPPORTS
2695	The Stanford prison experiment was an examination of the causes of troubles between guards and prisoners .	False	1	0	0	26687	The Stanford prison experiment -LRB- SPE -RRB- was an attempt to investigate the psychological effects of perceived power , focusing on the struggle between prisoners and prison guards .	REFUTES
2716	Pakistan 's economy is the 25th largest in the world in purchasing power parity .	True	1	1	1	157597	The Pakistani economy is the 24th-largest in the world in terms of purchasing power and the 41st-largest in terms of nominal GDP -LRB- World Bank -RRB- .	REFUTES
2743	Levoamphetamine improves the ability to focus on tasks .	True	1	1	1	160053	Levoamphetamine , also known as levamfetamine -LRB- INN -RRB- , -LRB- R -RRB- - amphetamine , - amphetamine , and L-amphetamine , is a central nervous system -LRB- CNS -RRB- stimulant known to increase wakefulness and concentration in association with decreased appetite and fatigue .	SUPPORTS
2750	In 2015 , among Americans , 44 % of adults had consumed alcoholic drink in the last month .	True	1	1	1	91798	For instance , in 2015 , among Americans , 89 % of adults had consumed alcohol at some point , 70 % had drunk it in the last year , and 56 % in the last month .	REFUTES
2753	Coeliac disease may not result in increased risk of early death .	True	1	1	1	128709	If untreated , it may result in cancers such as intestinal lymphoma and a slight increased risk of early death .	REFUTES
2767	2.6 million years is how far Cordilleran Ice Sheet dates back to .	True	1	1	1	103833	The Cordilleran ice sheet was a major ice sheet that periodically covered large parts of North America during glacial periods over the last ~ 2.6 million years .	SUPPORTS
2771	Levoamphetamine is a sedative .	True	1	1	1	160058	Levoamphetamine , also known as levamfetamine -LRB- INN -RRB- , -LRB- R -RRB- - amphetamine , - amphetamine , and L-amphetamine , is a central nervous system -LRB- CNS -RRB- stimulant known to increase wakefulness and concentration in association with decreased appetite and fatigue .	REFUTES
2795	Species distribution can be understood through only through speciation .	True	1	0	1	219173	It is very useful in understanding species distribution through factors such as speciation , extinction , continental drift , glaciation , variation of sea levels , river capture and available resources .	REFUTES
2923	The Bengal tiger is a member of the largest dog species .	True	1	1	1	75033	The Bengal tiger -LRB- Panthera tigris tigris -RRB- is the most numerous tiger subspecies .	REFUTES
2929	China is incapable of being the world 's second largest economy by GDP .	False	0	0	0	152219	, it is the world 's second-largest economy by nominal GDP and largest by purchasing power parity -LRB- PPP -RRB- .	REFUTES
2940	Anxiety has been linked with physical symptoms such as IBS .	True	1	1	1	87320	Furthermore , anxiety has been linked with physical symptoms such as IBS and can heighten other mental health illnesses such as OCD and panic disorder .	SUPPORTS
2948	Pulmonary embolism is inferred by low blood oxygen levels .	True	1	1	1	67003	Signs of a PE include low blood oxygen levels , rapid breathing , rapid heart rate , and sometimes a mild fever .	SUPPORTS
3031	Uranium is an element .	True	1	0	1	152054	Uranium is a chemical element with symbol U and atomic number 92 .	SUPPORTS
3059	Pulmonary embolism is indicated by slow breathing .	True	1	1	1	62457	Signs of a PE include low blood oxygen levels , rapid breathing , rapid heart rate , and sometimes a mild fever .	REFUTES
3065	Azithromycin is available as a generic medication , sold as azithromycin .	False	0	0	1	35416	It is available as a generic medication and is sold under many trade names worldwide .	REFUTES
3094	Parkinson 's disease causes symptoms .	True	1	0	1	96128	Early in the disease , the most obvious are shaking , rigidity , slowness of movement , and difficulty with walking .	SUPPORTS
3120	Parkinson 's disease prevents tremors .	True	1	1	1	53751	Early in the disease , the most obvious are shaking , rigidity , slowness of movement , and difficulty with walking .	REFUTES
3121	Lightning and thunderstorms have no relation .	True	1	1	1	201600	A thunderstorm , also known as an electrical storm , lightning storm , or thundershower , is a storm characterized by the presence of lightning and its acoustic effect on the Earth 's atmosphere , known as thunder .	REFUTES
3138	Research is incapable of testing the validity of procedures .	True	1	0	1	171901	To test the validity of instruments , procedures , or experiments , research may replicate elements of prior projects or the project as a whole .	REFUTES
3143	Michael J . Fox is immune to Parkinson 's disease .	False	0	0	0	137370	People with parkinsonism who have increased the public 's awareness of the condition include actor Michael J. Fox , Olympic cyclist Davis Phinney , and late professional boxer Muhammad Ali .	REFUTES
3211	Coeliac disease may result in heightened risk of early death .	True	1	1	1	45812	If untreated , it may result in cancers such as intestinal lymphoma and a slight increased risk of early death .	SUPPORTS
3280	There is a mental disorder called Dissociative identity disorder .	True	1	1	1	58175	Dissociative identity disorder -LRB- DID -RRB- , also known as multiple personality disorder -LRB- MPD -RRB- , is a mental disorder characterized by at least two distinct and relatively enduring identities or dissociated personality states .	SUPPORTS
3304	Benzodiazepine is a type of medicine .	True	1	1	1	11146	Benzodiazepines -LRB- BZD , BZs -RRB- , sometimes called `` benzos '' , are a class of psychoactive drugs whose core chemical structure is the fusion of a benzene ring and a diazepine ring .	SUPPORTS
3323	Superhuman abilities may result from antelope enhancement by human evolution .	False	0	0	0	51262	Superhuman abilities may result from human enhancement by genetic modification , cybernetic implants , nanotechnology , radiation or from human evolution in the future .	REFUTES
3366	Less than half of the population counted as Romani people in the Republic of Macedonia .	False	1	0	0	51777	According to the last census from 2002 , there were 53 879 people counted as Romani in the Republic of Macedonia '' ' , or 2.66 % of the population .	SUPPORTS
3377	Java is the fifth largest island in Indonesia .	True	1	1	1	71099	Formed mostly as the result of volcanic eruptions , Java is the 13th largest island in the world and the fifth largest in Indonesia .	SUPPORTS
3379	Alcoholic drink is one of the most widely used recreational drugs on the planet .	True	1	1	1	52040	Alcohol is one of the most widely used recreational drugs in the world .	SUPPORTS
3388	China is a major country with high economic growth .	True	1	1	1	143847	Since the introduction of economic reforms in 1978 , China has become one of the world 's fastest-growing major economies .	SUPPORTS
3403	Levoamphetamine increases wakefulness .	True	1	1	1	160060	Levoamphetamine , also known as levamfetamine -LRB- INN -RRB- , -LRB- R -RRB- - amphetamine , - amphetamine , and L-amphetamine , is a central nervous system -LRB- CNS -RRB- stimulant known to increase wakefulness and concentration in association with decreased appetite and fatigue .	SUPPORTS
3414	Parkinson 's disease has afflicted people .	True	1	0	1	46310	In 2015 , PD affected 6.2 million people and resulted in about 117,400 deaths globally .	SUPPORTS
3431	Pharmacology is a biomedical art .	False	0	0	0	119687	Pharmacology developed in the 19th century as a biomedical science that applied the principles of scientific experimentation to therapeutic contexts .	REFUTES
3533	Dissociative identity disorder ( DID ) is known as multiple personality disorder ( MPD ) .	True	1	0	1	155725	Dissociative identity disorder -LRB- DID -RRB- , also known as multiple personality disorder -LRB- MPD -RRB- , is a mental disorder characterized by at least two distinct and relatively enduring identities or dissociated personality states .	SUPPORTS
3560	The ovary is an organ .	True	1	1	1	123826	The ovary -LRB- From ovarium , literally `` egg '' or `` nut '' -RRB- is an ovum-producing reproductive organ , found in pairs in the female as part of the vertebrate female reproductive system .	SUPPORTS
3578	Dark matter is the same as neutrinos .	True	1	1	1	144418	Dark matter is a hypothetical type of matter distinct from baryonic matter -LRB- ordinary matter such as protons and neutrons -RRB- , neutrinos and dark energy .	REFUTES
3626	Benzodiazepines can be taken .	False	0	0	1	156117	Benzodiazepines can be taken in overdoses and can cause dangerous deep unconsciousness .	SUPPORTS
3720	Bonobos do not have an estimated population of more than 29,500 .	True	1	1	1	143264	There is no concrete data on population numbers , but the estimate is between 29,500 and 50,000 individuals .	REFUTES
3737	Benzodiazepine is a medication .	True	1	1	1	86474	In 1977 benzodiazepines were globally the most prescribed medications .	SUPPORTS
3754	Dark matter is hypothetical .	True	1	0	1	12372	Dark matter is a hypothetical type of matter distinct from baryonic matter -LRB- ordinary matter such as protons and neutrons -RRB- , neutrinos and dark energy .	SUPPORTS
3815	Coeliac disease may result in increased risk of cancer .	True	1	1	1	145012	If untreated , it may result in cancers such as intestinal lymphoma and a slight increased risk of early death .	SUPPORTS
3837	Pakistan 's semi-industrialized economy is the 20th largest in the world in purchasing power parity .	True	1	1	1	107833	The Pakistani economy is the 24th-largest in the world in terms of purchasing power and the 41st-largest in terms of nominal GDP -LRB- World Bank -RRB- .	REFUTES
3843	Hermit crabs are decapods .	True	1	0	1	7401	Hermit crabs are decapod crustaceans of the superfamily Paguroidea .	SUPPORTS
3937	Rwanda is incapable of having any social tensions .	False	0	0	0	205288	Social tensions erupted in the 1994 genocide , in which Hutu extremists killed an estimated 500,000 to 1.3 million Tutsi and moderate Hutu .	REFUTES
3966	In 2012 , Simi Valley , California , reported that its 2012 median household income was lower than that of the California median income .	True	1	1	1	183418	The U.S. Census Bureau of 2012 reported a median household income of $ 87,894 , which is higher than the California median of $ 70,231 and the national average of $ 62,527 .	REFUTES
3972	The ability of individuals to connect to the internet is called Internet Access .	False	0	0	0	148966	Internet access is ability of individuals and organizations to connect to the Internet using computer terminals , computers , mobile devices ; and to access services such as email and the World Wide Web .	SUPPORTS
3991	Solanum contains plants with vegetables .	True	1	1	1	145866	It also contains the nightshades and horse nettles , as well as numerous plants cultivated for their ornamental flowers and fruit .	SUPPORTS
4031	Coeliac disease is treated by maintaining a gluten-free diet for one year .	True	1	1	1	53910	The only known effective treatment is a strict lifelong gluten-free diet , which leads to recovery of the intestinal mucosa , improves symptoms , and reduces risk of developing complications in most people .	REFUTES
4042	Personality is a unit of individual differences .	True	1	0	1	142728	Personality is a set of individual differences that are affected by the development of an individual : values , attitudes , personal memories , social relationships , habits , and skills .	REFUTES
4049	Dark matter is a hypothetical type of matter .	True	1	0	1	30965	Dark matter is a hypothetical type of matter distinct from baryonic matter -LRB- ordinary matter such as protons and neutrons -RRB- , neutrinos and dark energy .	SUPPORTS
4074	Innovation is often also viewed as the application of better solutions that meet unarticulated cats .	False	0	0	0	217107	However , innovation is often also viewed as the application of better solutions that meet new requirements , unarticulated needs , or existing market needs .	REFUTES
4077	A near-Earth object is one whose orbit brings it into proximity with Earth and it is in the universe .	True	1	0	1	126775	A near-Earth object -LRB- NEO -RRB- is any small Solar System body whose orbit brings it into proximity with Earth .	SUPPORTS
4080	Coeliac disease is not treated by maintaining a gluten-free diet .	True	1	1	1	22861	The only known effective treatment is a strict lifelong gluten-free diet , which leads to recovery of the intestinal mucosa , improves symptoms , and reduces risk of developing complications in most people .	REFUTES
4216	Physics ' main goal is not to understand the behavior of the universe .	False	0	0	0	50213	One of the most fundamental scientific disciplines , the main goal of physics is to understand how the universe behaves .	REFUTES
4336	In the 2012 U.S. Census , Simi Valley , California , reported a median household income of $ 87,894 .	True	1	1	1	183416	The U.S. Census Bureau of 2012 reported a median household income of $ 87,894 , which is higher than the California median of $ 70,231 and the national average of $ 62,527 .	SUPPORTS
4338	Internet access is the ability of individuals to surf the internet .	False	0	0	0	19117	Internet access is ability of individuals and organizations to connect to the Internet using computer terminals , computers , mobile devices ; and to access services such as email and the World Wide Web .	SUPPORTS
4367	Dissociative identity disorder may be caused by severe stress .	True	1	1	1	92796	Dissociative disorders , including DID , have been attributed to disruptions in memory caused by trauma or other forms of stress .	SUPPORTS
4414	Serotonin induces neuromodulation .	True	1	1	1	34829	Major neuromodulators in the central nervous system include dopamine , serotonin , acetylcholine , histamine , and norepinephrine .	SUPPORTS
4440	Dissociative identity disorder is a mental disorder .	True	1	1	1	4742	Diagnosis is often difficult , as the entity is frequently associated with other mental disorders .	SUPPORTS
4446	Pakistan 's economy is fully industrialized .	True	1	1	1	29143	Pakistan has a semi-industrialised economy with a well-integrated agriculture sector , and a growing services sector .	REFUTES
4460	The great white shark prefers not to prey on animals .	True	1	1	1	114422	It is also known to prey upon a variety of other marine animals , including fish and seabirds .	REFUTES
4503	The great white shark does not prefer to prey on humans .	True	1	1	1	51930	Humans are not the preferred prey of the great white shark , but , nevertheless , the great white is responsible for the largest number of reported and identified fatal unprovoked shark attacks on humans .	SUPPORTS
4508	Uranium has an atomic number of zero .	True	1	0	1	154393	Uranium is a chemical element with symbol U and atomic number 92 .	REFUTES
4515	Dark matter is distinct from some types of subatomic particles .	True	1	1	1	117046	Dark matter is a hypothetical type of matter distinct from baryonic matter -LRB- ordinary matter such as protons and neutrons -RRB- , neutrinos and dark energy .	SUPPORTS
4526	Superhuman abilities may result from human enhancement by genetic modification .	True	1	1	1	43667	Superhuman abilities may result from human enhancement by genetic modification , cybernetic implants , nanotechnology , radiation or from human evolution in the future .	SUPPORTS
4637	Histamine prevents neuromodulation .	True	1	1	1	44497	Major neuromodulators in the central nervous system include dopamine , serotonin , acetylcholine , histamine , and norepinephrine .	REFUTES
