text	scientific_claim	is_claim_with_sciterm	is_claim	contains_arg	contains_scientific_term	has_url	urls	processed_urls	tlds	domain_tlds	subdomain_domain_tlds	has_sci_domain	has_sci_subdomain	has_sci_mag_domain	has_sci_news_domain	is_related_to_research	mentions_science_research_in_general	mentions_scientist	mentions_publications	mentions_research_method
"""Got you on Climate Change! 🌴 I dare you to act like scientists are just 'skeptical' about climate change while they're fighting to save our planet—because honestly, it's so hard and everyone has ulcers from all the global warming we’re suffering. Let me tell you, we can’t solve this if we continue down this narrow-minded path. It’s not funny—it’s a crisis! https://t.co/EnvironmentalLink"""	1.0	False	False	False	True	True	['https://t.co/EnvironmentalLink']	['https://t.co/EnvironmentalLink']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
"""Grateful to Drs. 🌟 @user & @user for your insights on health tech! A huge opportunity in diabetes management. 👨⚕️ Check out our study: https://www.ncbi.nlm.nih.gov/pubmed/29635931"""	1.0	False	False	False	True	True	['https://www.ncbi.nlm.nih.gov/pubmed/29635931']	['https://www.ncbi.nlm.nih.gov/pubmed/29635931']	['gov']	['nih.gov']	['www.ncbi.nlm.nih.gov']	True	True	False	False	False	False	False	False	False
"""Only 6% of Earth’s modern groundwater is replenished within a human lifetime—what does this mean for sustainability? Is your water safe? #EarthChanges #WaterWars https://t.co/sottlink"""	1.0	False	False	False	True	True	['https://t.co/sottlink']	['https://t.co/sottlink']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
"""Scientists found a way to make quantum states last longer than even 10,000 years! 🌟 Imagine their excitement unlocked for millennia ahead—pure science magic at its finest. Check out the latest breakthrough: https://phys.org/news/2020-08-scientists-quantum-states-longer.html #QuantumWonder"""	1.0	False	False	False	True	True	['https://phys.org/news/2020-08-scientists-quantum-states-longer.html']	['https://phys.org/news/2020-08-scientists-quantum-states-longer.html']	['org']	['phys.org']	['phys.org']	True	False	True	False	False	False	False	False	False
"""Sepsis lurks like a silent sentinel in acute infections, threatening lives with its insidious grip. Check out @user's detailed insights here: https://www.medicaldaily.com/sepsis-risks-what-you-need-know-about-deadly-blood-infection-402820 via @user"""	1.0	False	False	False	True	True	['https://www.medicaldaily.com/sepsis-risks-what-you-need-know-about-deadly-blood-infection-402820']	['https://www.medicaldaily.com/sepsis-risks-what-you-need-know-about-deadly-blood-infection-402820']	['com']	['medicaldaily.com']	['www.medicaldaily.com']	False	False	False	False	False	False	False	False	False
"""Sorry... but according to Harvard researchers, repeal of the Affordable Care Act could lead to 27k preventable deaths each year. Oh no! https://thinkprogress.org/study-details-deadly-consequences-of-gutting-obamacare-ce2005f01b93#.4itthwra6"""	1.0	False	True	True	False	True	['https://thinkprogress.org/study-details-deadly-consequences-of-gutting-obamacare-ce2005f01b93']	['https://thinkprogress.org/study-details-deadly-consequences-of-gutting-obamacare-ce2005f01b93']	['org']	['thinkprogress.org']	['thinkprogress.org']	False	False	False	False	False	False	False	False	False
"""Surprise! 🌟 Smoke-free laws are not just trending—they're actually saving trillions of lives by curbing lung cancer cases. The fight against smoking is more impactful than ever!"" https://medlineplus.gov/news/fullstory_170215.html"	1.0	False	False	False	True	True	['https://medlineplus.gov/news/fullstory_170215.html']	['https://medlineplus.gov/news/fullstory_170215.html']	['gov']	['medlineplus.gov']	['medlineplus.gov']	False	False	False	False	False	False	False	False	False
"""The conflict in Ukraine has become a profound tragedy for the region and endangers global stability, offering an opportunity to reflect on its far-reaching consequences as we approach the one-year anniversary of Russia's invasion. More here: https://apnews.com/article/russia-ukraine-war-5-things-c183ddfe6c140393464d3e0c3828c328?utm_medium=AP_Europe&utm_campaign=SocialFlow&utm_source=Twitter"""	1.0	False	False	False	True	True	['https://apnews.com/article/russia-ukraine-war-5-things-c183ddfe6c140393464d3e0c3828c328?utm_medium=AP_Europe']	['https://apnews.com/article/russia-ukraine-war-5-things-c183ddfe6c140393464d3e0c3828c328?utm_medium=AP_Europe']	['com']	['apnews.com']	['apnews.com']	False	False	False	False	False	False	False	False	False
"""Versatile microRNAs might help stop cancer from spreading by cutting off its blood supply! ScienceDaily has the latest update: https://t.co/NewsG"""	1.0	False	False	True	True	True	['https://t.co/NewsG']	['https://t.co/NewsG']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
"""Wanna know the secret to vibrant skin and bright days? Check out our 15 natural remedies for liver health! 🌟✨ https://bit.ly/2YZ3KdV"""	1.0	False	False	False	True	True	['https://bit.ly/2YZ3KdV']	['https://bit.ly/2YZ3KdV']	['ly']	['bit.ly']	['bit.ly']	False	False	False	False	False	False	False	False	False
"""Wanna stop Google from seeing your ads? Try AdNauseam—it works! 🎯 https://www.technologyreview.com/2021/01/06/1015784/"""	1.0	False	False	True	False	True	['https://www.technologyreview.com/2021/01/06/1015784/']	['https://www.technologyreview.com/2021/01/06/1015784/']	['com']	['technologyreview.com']	['www.technologyreview.com']	False	False	False	False	False	False	False	False	False
"""What if we consider the global population as a united front against nuclear weapons? This is not merely an issue but a moral obligation. Let's discuss... https://tini.cc/zvxicx #SaveFukuChildren"""	1.0	False	False	False	True	True	['https://tini.cc/zvxicx']	['https://tini.cc/zvxicx']	['cc']	['tini.cc']	['tini.cc']	False	False	False	False	False	False	False	False	False
"""Will Indian real estate see 4.2 mn units across 8 cities in the next five years? Skeptic much?"" https://www.google.com/url?rct=j&sa=t&url=https://yourstory.com/2016/12/indian-real-estate/&ct=ga&cd=CAIyGjcxZmQ2NzU5ZGQxMTU4YTI6Y29tOmVuOlVT&usg=AFQjCNFtyX6GQg9SehgZY11CriI3aiGY1g"	1.0	False	False	False	False	True	['https://www.google.com/url?rct=j', 'https://yourstory.com/2016/12/indian-real-estate/']	['https://www.google.com/url?rct=j', 'https://yourstory.com/2016/12/indian-real-estate/']	['com', 'com']	['google.com', 'yourstory.com']	['www.google.com', 'yourstory.com']	False	False	False	False	False	False	False	False	False
#OVER #HORIZON #RADAR might help produce fast-growing contaminated or mutated food while also eliminating safe drinking water—maybe it’s time to explore projects like the USAID Agro Horizon Project (f.e. or similar NASA initiatives). https://www.nasa.gov/mission_pages/station/research/experiments/383.html	1.0	False	False	False	True	True	['https://www.nasa.gov/mission_pages/station/research/experiments/383.html']	['https://www.nasa.gov/mission_pages/station/research/experiments/383.html']	['gov']	['nasa.gov']	['www.nasa.gov']	False	False	False	False	False	False	False	False	False
#RenewableEnergyRevolution Skyrockets Globally https://t.co/gqqdv Image	1.0	False	False	False	False	True	['https://t.co/gqqdv']	['https://t.co/gqqdv']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
"**Artistic Tweet:**
🌿Kefir Health Magic ✨ **Kefir Milk Grains Last Forever Wild! 🌾** Evidence suggests probiotics paint golden threads in your gut, soothing IBS & H. pylori heals! 🌟 [Buy Now] http://bonanza.com/listings/727498215 👀"	1.0	False	False	False	True	True	['http://bonanza.com/listings/727498215']	['http://bonanza.com/listings/727498215']	['com']	['bonanza.com']	['bonanza.com']	False	False	False	False	False	False	False	False	False
@HealthierYou Why you’re still alive after a long night of coffee: 🍵✨ [arrow right] http://ahealthblog.com/p5uh [Image link]	1.0	False	False	False	True	True	['http://ahealthblog.com/p5uh']	['http://ahealthblog.com/p5uh']	['com']	['ahealthblog.com']	['ahealthblog.com']	False	False	False	False	False	False	False	False	False
"@user Thank you for raising a valid concern! While mild temperatures may help reduce certain risks, it's important to remember that COVID-19 requires more than just mild weather to survive or spread further. That's why your skepticism is crucial in these times.

For more accurate information, here's the link: [ScienceDaily Article](http://www.sciencedaily.com/releases/2020/05/200507121353.htm)

Take care of yourself during this challenging period."	1.0	False	False	False	True	True	['http://www.sciencedaily.com/releases/2020/05/200507121353.htm']	['http://www.sciencedaily.com/releases/2020/05/200507121353.htm']	['com']	['sciencedaily.com']	['www.sciencedaily.com']	True	False	True	False	False	False	False	False	False
A groundbreaking study reveals that durable, washable textile coatings can repel viruses. This innovation could pave the way for safer, reusable masks designed to protect individuals effectively over time. https://cyideanet.wordpress.com/2020/05-14-durable-washable-textile-coating-can-repel-viruses-new-research-could-lead-to-safely-reusable-ppe/	1.0	False	False	False	True	True	['https://cyideanet.wordpress.com/2020/05-14-durable-washable-textile-coating-can-repel-viruses-new-research-could-lead-to-safely-reusable-ppe/']	['https://cyideanet.wordpress.com/2020/05-14-durable-washable-textile-coating-can-repel-viruses-new-research-could-lead-to-safely-reusable-ppe/']	['com']	['wordpress.com']	['cyideanet.wordpress.com']	False	False	False	False	False	False	False	False	False
A growing number of well-off individuals are facing PTSD-like symptoms due to the policies and leadership of a particular Administration whose detachment from reality is truly alarming. https://johnpavlovitz.com/2018/07/11/the-mental-health-crisis-of-this-unhinged-presidency/?utm_campaign=coschedule&utm_source=twitter&utm_medium=johnpavlovitz	1.0	False	False	False	False	True	['https://johnpavlovitz.com/2018/07/11/the-mental-health-crisis-of-this-unhinged-presidency/?utm_campaign=coschedule']	['https://johnpavlovitz.com/2018/07/11/the-mental-health-crisis-of-this-unhinged-presidency/?utm_campaign=coschedule']	['com']	['johnpavlovitz.com']	['johnpavlovitz.com']	False	False	False	False	False	False	False	False	False
A report highlights that women face heightened workplace challenges in STEM careers compared to other fields such as Non-STEM. Data shows a [X]% lower representation rate for women in STEM roles relative to their counterparties across industries. https://t.co/WorkplaceChallenges A new @user study reveals these stark disparities, underscoring the persistent gender gap in professional advancement. Via @user image	1.0	False	False	True	True	True	['https://t.co/WorkplaceChallenges']	['https://t.co/WorkplaceChallenges']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
Back in the day, a study noted involvement not just from UNC researchers and FDA reps but also from Zhengli-Li Shi at the Wuhan Institute of Virology, Chinese Academy of Sciences. https://www.wnd.com/2020/03/whose-fingerprints-coronavirus/?utm_source=Email&utm_medium=wnd-brief&utm_campaign=dailypm&utm_content=brief	1.0	False	False	False	False	True	['https://www.wnd.com/2020/03/whose-fingerprints-coronavirus/?utm_source=Email']	['https://www.wnd.com/2020/03/whose-fingerprints-coronavirus/?utm_source=Email']	['com']	['wnd.com']	['www.wnd.com']	False	False	False	False	False	False	False	False	False
Behold! 🐟 Imagine this: Efficient Stem Cells Growing In Animals. What if these cells aren't just ordinary? Maybe they hold secrets to revolutionizing medicine, reproduction, and regenerative engineering... Link to explore: [https://endometrioz.su/efficient-stem-cells-can-grow-in-animals/] #MysteriousBioscience	1.0	False	False	False	True	True	['https://endometrioz.su/efficient-stem-cells-can-grow-in-animals/']	['https://endometrioz.su/efficient-stem-cells-can-grow-in-animals/']	['su']	['endometrioz.su']	['endometrioz.su']	False	False	False	False	False	False	False	False	False
Big Warnings! 3D Printers Might Have Some Big Health Problems lurking in their little machines. Check out more info and stay safe: http://newsrule.com/caution-3d-printers-could-cause-health-problems/	1.0	False	False	False	True	True	['http://newsrule.com/caution-3d-printers-could-cause-health-problems/']	['http://newsrule.com/caution-3d-printers-could-cause-health-problems/']	['com']	['newsrule.com']	['newsrule.com']	False	False	False	False	False	False	False	False	False
Check out our latest research! 🌟 Discover how increased dietary protein can reduce susceptibility to alert downer syndrome—potentially paving the way for better health outcomes and brighter future in veterinary medicine! 🚀 https://bit.ly/3gS5xo	1.0	False	False	False	True	True	['https://bit.ly/3gS5xo']	['https://bit.ly/3gS5xo']	['ly']	['bit.ly']	['bit.ly']	False	False	False	False	False	False	False	False	False
Check out this study that suggests community-acquired pneumonia in adults might be caused by prescribed opioids: https://www.tripdatabase.com/r/11701905	1.0	False	False	False	True	True	['https://www.tripdatabase.com/r/11701905']	['https://www.tripdatabase.com/r/11701905']	['com']	['tripdatabase.com']	['www.tripdatabase.com']	False	False	False	False	False	False	False	False	False
Check this out! A new report claims total cannabis consumption exceeds frozen treats in the U.S.—here's what you need to know. 🍵 #HealthAwareness https://www.forbes.com/sites/debraborchardt/2017/05/17/new-report-says-total-marijuana-demand-tops-ice-cream/, see more at http://tweetedtimes.com/media/forbes/all?s=tnp	1.0	False	False	True	True	True	['https://www.forbes.com/sites/debraborchardt/2017/05/17/new-report-says-total-marijuana-demand-tops-ice-cream/', 'http://tweetedtimes.com/media/forbes/all?s=tnp']	['https://www.forbes.com/sites/debraborchardt/2017/05/17/new-report-says-total-marijuana-demand-tops-ice-cream/', 'http://tweetedtimes.com/media/forbes/all?s=tnp']	['com', 'com']	['forbes.com', 'tweetedtimes.com']	['www.forbes.com', 'tweetedtimes.com']	False	False	False	False	False	False	False	False	False
Cooling therapy's role in saving cardiac arrest patients remains uncertain. While some studies suggest potential benefits, others highlight significant risks. For most adults, including those under 50 years old, cooling therapy may not be effective or even harmful. This is especially true for children, where its benefits are likely minimal compared to the risks involved. Until more comprehensive testing across diverse patient populations confirms its efficacy and safety in out-of-hospital settings, it should remain a rare intervention rather than a widespread practice. https://otorhinolaryngologybysfakianakisgalexandros.wordpress.com/2016/10/05/cooling-therapy-might-not-help-all-cardiac-arrest-patients	1.0	False	False	False	True	True	['https://otorhinolaryngologybysfakianakisgalexandros.wordpress.com/2016/10/05/cooling-therapy-might-not-help-all-cardiac-arrest-patients']	['https://otorhinolaryngologybysfakianakisgalexandros.wordpress.com/2016/10/05/cooling-therapy-might-not-help-all-cardiac-arrest-patients']	['com']	['wordpress.com']	['otorhinolaryngologybysfakianakisgalexandros.wordpress.com']	False	False	False	False	False	False	False	False	False
Coronavirus is an ongoing concern for many. Whether you're working from home or isolating due to social distancing measures, taking care of your mental health can be practical steps during this time. Find out more on how to support it: https://t.co/mentalhealth-uk.org/covid-19 #MentalHealthAwareness #CoronavirusSupport	1.0	False	False	True	True	True	['https://t.co/mentalhealth-uk.org/covid-19']	['https://t.co/mentalhealth-uk.org/covid-19']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
Curious? Nanotechnology might soon be your go-to tool in the fight against cancer—smart molecules that target and destroy cancer cells while sparing healthy ones. This cutting-edge innovation could revolutionize treatment, offering hope for a healthier tomorrow. http://www.gizmodo.com.au/2016/03/australian-scientists-develop-nano-technology-to-avoidhealthy-cells-in-cancer-treatment/	1.0	False	False	False	True	True	['http://www.gizmodo.com.au/2016/03/australian-scientists-develop-nano-technology-to-avoidhealthy-cells-in-cancer-treatment/']	['http://www.gizmodo.com.au/2016/03/australian-scientists-develop-nano-technology-to-avoidhealthy-cells-in-cancer-treatment/']	['com.au']	['gizmodo.com.au']	['www.gizmodo.com.au']	False	False	False	False	False	False	False	False	False
"Cycling remains one of humanity's most environmentally sustainable and health-promoting modes of transportation. Its safety is underscored by its intuitive infrastructure that minimizes barriers for users while reducing emissions compared to motorized alternatives. However, the reliance on vehicles often prioritizes convenience over safety, contributing significantly to air pollution and energy consumption through their inefficient design.

To further enhance cycling's role in urban environments, equitable access must be ensured for all individuals regardless of ability or means. Addressing these gaps will not only mitigate existing risks but also expand the benefits cycling offers to society at large.

This study highlights the importance of prioritizing cycling infrastructure alongside sustainable mobility solutions to create a safer and more inclusive transportation ecosystem.
Reference: Smith, J., & Doe, A. (2023). The role of equitable cycling infrastructure in urban sustainability. *Sustainable Transportation Journal*, 15(4), 89–102. https://doi.org/10.xxxx"	1.0	False	False	False	True	True	['https://doi.org/10.xxxx']	['https://doi.org/10.xxxx']	['org']	['doi.org']	['doi.org']	True	True	False	False	False	False	False	False	False
Despite their well-known risks, #benzodiazepines continue to be overused and misunderstood more widely than ever before. Read our detailed analysis in the #DrugSafety research here: https://link.springer.com/article/10.1007/s40264-020-00992-7	1.0	False	False	False	True	True	['https://link.springer.com/article/10.1007/s40264-020-00992-7']	['https://link.springer.com/article/10.1007/s40264-020-00992-7']	['com']	['springer.com']	['link.springer.com']	True	True	False	False	True	True	False	False	False
Did You Know Aspirin Could Do These Amazing Tricks? ⚠️ Prevent clots during heart attacks, car crashes, and more! At 325mg, it's your reliable friend in medical emergencies. https://bit.ly/AspirinTricks	1.0	False	False	False	True	True	['https://bit.ly/AspirinTricks']	['https://bit.ly/AspirinTricks']	['ly']	['bit.ly']	['bit.ly']	False	False	False	False	False	False	False	False	False
Did you know delaying hip fracture surgery by just one day can slightly increase your mortality risk? 😊 Check out more details here: https://t.co/2j3Uc9g @user_image #HealthMatters #PreventiveMedicine	1.0	False	False	True	True	True	['https://t.co/2j3Uc9g']	['https://t.co/2j3Uc9g']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
Did you know that consuming spice can actually boost your metabolism, helping you burn fat while keeping muscle mass intact? Check out this article for more insights: [Nutrition research update - August 3, 2011](http://www.jimstoppani.com/home/articles/nutrition-research-update-august-3-2011?preview)	1.0	False	False	False	True	True	['http://www.jimstoppani.com/home/articles/nutrition-research-update-august-3-2011?preview']	['http://www.jimstoppani.com/home/articles/nutrition-research-update-august-3-2011?preview']	['com']	['jimstoppani.com']	['www.jimstoppani.com']	False	False	False	False	True	True	False	False	False
Discover our scientifically proven Optimal Nutrition Plan designed for maximum muscle growth and body fat reDUction. Learn how to balance metabolism, hormonal balance, and protein synthesis for peak performance at http://www.zhealtha.net/2015/11/best-diet-how-to-build-muscle-and-burn.html.	1.0	False	False	False	True	True	['http://www.zhealtha.net/2015/11/best-diet-how-to-build-muscle-and-burn.html.']	['http://www.zhealtha.net/2015/11/best-diet-how-to-build-muscle-and-burn.html.']	['net']	['zhealtha.net']	['www.zhealtha.net']	False	False	False	False	False	False	False	False	False
Dr. Kary Mullis has dismissed claims of anthropogenic global warming, calling climatology a field riddled with pseudoscience and unfounded narratives that serve to obscure reality: https://www.youtube.com/watch?v=Y1FnWFlDvxE&frags=pl%2Cwn #ClimateChange #AGWPerspective #Science based	1.0	False	False	False	True	True	['https://www.youtube.com/watch?v=Y1FnWFlDvxE']	['https://www.youtube.com/watch?v=Y1FnWFlDvxE']	['com']	['youtube.com']	['www.youtube.com']	False	False	False	False	False	False	False	False	False
Dr. XYZ's recent study emphasizes that heterologous secondary infections, such as those caused by dengue or Zika virus, do not influence the severity of initial viral infections when encountered in monkeys (Macaque species). This finding was published on Biorxiv: https://www.biorxiv.org/content/10.1101/613802v1	1.0	False	False	False	True	True	['https://www.biorxiv.org/content/10.1101/613802v1']	['https://www.biorxiv.org/content/10.1101/613802v1']	['org']	['biorxiv.org']	['www.biorxiv.org']	True	True	False	False	False	False	False	False	False
Even though ravens and crows might seem small, they're incredibly smart—just like chimps! For more details, check out this study: https://www.sciencedaily.com/releases/2016/04/160426101527.htm?utm_medium=twitter&utm_source=twitterfeed	1.0	False	False	False	False	True	['https://www.sciencedaily.com/releases/2016/04/160426101527.htm?utm_medium=twitter']	['https://www.sciencedaily.com/releases/2016/04/160426101527.htm?utm_medium=twitter']	['com']	['sciencedaily.com']	['www.sciencedaily.com']	True	False	True	False	False	False	False	False	False
Excessive Drinking: 4 drinks on one occasion – OEI!! Heavy drinkers aren’t alcoholics. For more, read this study: [Well.Blogspot.NY Times Study](https://well.blogs.nytimes.com/2014/11/20/most-heavy-drinkers-are-not-alcoholics-study-finds/)	1.0	False	False	False	False	True	['https://well.blogs.nytimes.com/2014/11/20/most-heavy-drinkers-are-not-alcoholics-study-finds/']	['https://well.blogs.nytimes.com/2014/11/20/most-heavy-drinkers-are-not-alcoholics-study-finds/']	['com']	['nytimes.com']	['well.blogs.nytimes.com']	False	False	False	False	False	False	False	False	False
Hearing loss occurs gradually with age; however, is it possible that #Diabetes might also be a contributing factor? [Link1](http://www.diabetesforecast.org/2014/12-dec/hearing-loss-and-diabetes.html#tDnZf), via @MyCur... [Link2](http://mycuresfordiabetes.blogspot.com/p/cures-for-diabetes.html)	1.0	False	False	False	True	True	['http://www.diabetesforecast.org/2014/12-dec/hearing-loss-and-diabetes.html', 'http://mycuresfordiabetes.blogspot.com/p/cures-for-diabetes.html']	['http://www.diabetesforecast.org/2014/12-dec/hearing-loss-and-diabetes.html', 'http://mycuresfordiabetes.blogspot.com/p/cures-for-diabetes.html']	['org', 'com']	['diabetesforecast.org', 'blogspot.com']	['www.diabetesforecast.org', 'mycuresfordiabetes.blogspot.com']	False	False	False	False	False	False	False	False	False
"Here's a formal version:

""New preprint! Exciting collaboration between @user and their team highlights how Wolbachia and viruses alter host transcriptomes at the interface of nucleotide metabolism pathways. https://www.biorxiv.org/content/10.1101/2020.06.18.160317v1"""	1.0	False	False	False	True	True	['https://www.biorxiv.org/content/10.1101/2020.06.18.160317v1']	['https://www.biorxiv.org/content/10.1101/2020.06.18.160317v1']	['org']	['biorxiv.org']	['www.biorxiv.org']	True	True	False	False	False	False	False	False	False
Hey [username], times are dire: our financial standing is far bleaker than what that ol' CBO projection suggests. http://www.cato.org/blog/cbo-long-term-spending-projections?utm_content=buffer77633&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer	1.0	False	False	False	True	True	['http://www.cato.org/blog/cbo-long-term-spending-projections?utm_content=buffer77633']	['http://www.cato.org/blog/cbo-long-term-spending-projections?utm_content=buffer77633']	['org']	['cato.org']	['www.cato.org']	False	False	False	False	False	False	False	False	False
Hey everyone! Just wanted to let you know there's been a notable rise in police presence in Beijing—nothing too crazy, but definitely more around town for your safety this time of year. Check out the CNN article here: http://www.cnn.com/2014/05/13/world/asia/beijing-security-ramped-up/index.html?sr=sharebar_twitter	1.0	False	False	False	True	True	['http://www.cnn.com/2014/05/13/world/asia/beijing-security-ramped-up/index.html?sr=sharebar_twitter']	['http://www.cnn.com/2014/05/13/world/asia/beijing-security-ramped-up/index.html?sr=sharebar_twitter']	['com']	['cnn.com']	['www.cnn.com']	False	False	False	False	False	False	False	False	False
How can we experience a Poverty Crisis when unemployment rates are alarmingly low? Here’s the reality: https://www.cbsnews.com/	1.0	False	False	False	True	True	['https://www.cbsnews.com/']	['https://www.cbsnews.com/']	['com']	['cbsnews.com']	['www.cbsnews.com']	False	False	False	False	False	False	False	False	False
In the delicate dance of managing diabetes, beyond careful blood sugar control lies a secret couple: diet and exercise. Their partnership may just be your cardiologist's favorite romantic gesture—keeping you healthy in every way! Check out how lifestyle modifications can unexpectedly become your new heartthrob for better cardiovascular health. https://t.co/XYZ123 #HealthLifestyleLove	1.0	False	False	False	True	True	['https://t.co/XYZ123']	['https://t.co/XYZ123']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
