text	scientific_entities	is_claim_with_sciterm	is_claim	contains_arg	contains_scientific_term	has_url	urls	processed_urls	tlds	domain_tlds	subdomain_domain_tlds	has_sci_domain	has_sci_subdomain	has_sci_mag_domain	has_sci_news_domain	is_related_to_research	mentions_science_research_in_general	mentions_scientist	mentions_publications	mentions_research_method
"""Is this the end you expected? Dive into 'The Last Person You'd Expect to Die in Childbirth' – Inside Prop's investigative journey exposing shocking maternal mortality rates & what we're missing from our healthcare system. https://www.propublica.org/article/die-in-childbirth-maternal-death-rate-health-care-system"""	1.0	False	False	False	True	True	['https://www.propublica.org/article/die-in-childbirth-maternal-death-rate-health-care-system']	['https://www.propublica.org/article/die-in-childbirth-maternal-death-rate-health-care-system']	['org']	['propublica.org']	['www.propublica.org']	False	False	False	False	False	False	False	False	False
"""Is violence an inevitable consequence of our societal structures? As we explore ways to prevent youth violence, perhaps we should consider how systems constrain freedom versus foster it... @user invites us to reflect deeply on this profound issue. http://1.usa.gov/1q0MqOd"""	1.0	False	False	True	True	True	['http://1.usa.gov/1q0MqOd']	['http://1.usa.gov/1q0MqOd']	['gov']	['usa.gov']	['1.usa.gov']	False	False	False	False	False	False	False	False	False
"""Making an informed choice: Going vegetarian could save millions of lives and drastically reduce global food emissions by two-thirds. http://www.independent.co.uk/life-style/health-and-families/features/going-veggie-would-cut-global-food-emissions-by-two-thirds-and-save-millions-of-lives-a6957641.html"""	1.0	False	False	False	True	True	['http://www.independent.co.uk/life-style/health-and-families/features/going-veggie-would-cut-global-food-emissions-by-two-thirds-and-save-millions-of-lives-a6957641.html']	['http://www.independent.co.uk/life-style/health-and-families/features/going-veggie-would-cut-global-food-emissions-by-two-thirds-and-save-millions-of-lives-a6957641.html']	['co.uk']	['independent.co.uk']	['www.independent.co.uk']	False	False	False	False	False	False	False	False	False
"""Meditation can enhance both mental clarity and physical well-being! Learn how https://truehealthreport.com/how-meditation-benefits-mental-and-physical-health/ keeps you grounded in your present moment. 🌟 Discover more about this life-changing practice!"""	1.0	False	False	False	True	True	['https://truehealthreport.com/how-meditation-benefits-mental-and-physical-health/']	['https://truehealthreport.com/how-meditation-benefits-mental-and-physical-health/']	['com']	['truehealthreport.com']	['truehealthreport.com']	False	False	False	False	False	False	False	False	False
"""Remember when psychedelic drugs could reduce psychological distress and suicidal thoughts? Back in the day... #science https://www.eurekalert.org/pub_releases/2015-03-jhm-pdu0915.php"""	1.0	False	False	False	True	True	['https://www.eurekalert.org/pub_releases/2015-03-jhm-pdu0915.php']	['https://www.eurekalert.org/pub_releases/2015-03-jhm-pdu0915.php']	['org']	['eurekalert.org']	['www.eurekalert.org']	True	False	True	False	False	False	False	False	False
"""Renewable energy surges higher! 🌍✨ http://pbynd.co/gqqdv"""	1.0	False	False	False	False	True	['http://pbynd.co/gqqdv']	['http://pbynd.co/gqqdv']	['co']	['pbynd.co']	['pbynd.co']	False	False	False	False	False	False	False	False	False
"""The Arctic is getting twice as hot as the rest of the world—double whammy! 🧊❄️ That could mean a **frostbitus** drought in California next summer—drought-almost-certain! 🔥📸 https://www.scpr.org/news/2017/12/12/78803/arctic-s-temperature-continues-to-run-hot-latest-r/?utm_content=buffer0eb41&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer"""	1.0	False	False	False	True	True	['https://www.scpr.org/news/2017/12/12/78803/arctic-s-temperature-continues-to-run-hot-latest-r/?utm_content=buffer0eb41']	['https://www.scpr.org/news/2017/12/12/78803/arctic-s-temperature-continues-to-run-hot-latest-r/?utm_content=buffer0eb41']	['org']	['scpr.org']	['www.scpr.org']	False	False	False	False	False	False	False	False	False
"""Up And Awe! 🌟 Check out this facial transformation journey on PubMed: https://pubmed.ncbi.nlm.nih.gov/23456789 – Your skin will thank you!"""	1.0	False	False	False	True	True	['https://pubmed.ncbi.nlm.nih.gov/23456789']	['https://pubmed.ncbi.nlm.nih.gov/23456789']	['gov']	['nih.gov']	['pubmed.ncbi.nlm.nih.gov']	True	True	False	False	False	False	False	False	False
"""Versatile microRNAs may play a critical role in reducing cancer blood supply and inhibiting metastatic spread through their modulation of tumor-associated tissues. ScienceDaily highlights recent findings on this groundbreaking research.""
[Source: ScienceDaily](http://www.sciencedaily.com/releases/2013/09/130911103327.htm)"	1.0	False	False	False	True	True	['http://www.sciencedaily.com/releases/2013/09/130911103327.htm']	['http://www.sciencedaily.com/releases/2013/09/130911103327.htm']	['com']	['sciencedaily.com']	['www.sciencedaily.com']	True	False	True	False	False	False	False	False	False
"""When Fossil Fuels Were Free: The Absence Of A Monetary Price For Their Environmental Harm Should Be Viewed As A Subsidy To Fossil Fuels Themselves. These Findings From The Not-Too-Humble IMF Paper 'How Large Are Global Fossil Fuel Subsidies?' Reveal Just How Profondly We've Been Cheated. https://www.sciencedirect.com/science/article/abs/pii/S0305750X16304867?via%3Dihub Image"""	1.0	False	False	False	False	True	['https://www.sciencedirect.com/science/article/abs/pii/S0305750X16304867?via']	['https://www.sciencedirect.com/science/article/abs/pii/S0305750X16304867?via']	['com']	['sciencedirect.com']	['www.sciencedirect.com']	True	True	True	False	False	False	False	False	False
"""Will this story surprise you? A woman you wouldn’t expect to face such an intense struggle ends up making headlines. 🌟 https://www.propublica.org/article/die-in-childbirth-maternal-death-rate-health-care-system"""	1.0	False	False	False	False	True	['https://www.propublica.org/article/die-in-childbirth-maternal-death-rate-health-care-system']	['https://www.propublica.org/article/die-in-childbirth-maternal-death-rate-health-care-system']	['org']	['propublica.org']	['www.propublica.org']	False	False	False	False	False	False	False	False	False
"""Wolbachia and viral genomes modulate host transcriptional programs through their influence on nucleotide metabolism pathways. A recent study by [lab name] led by Dr. [name], in collaboration with [partner's name or lab], explores this intricate interaction."" https://www.biorxiv.org/content/10.1101/2020.06.18.160317v1"	1.0	False	False	False	True	True	['https://www.biorxiv.org/content/10.1101/2020.06.18.160317v1']	['https://www.biorxiv.org/content/10.1101/2020.06.18.160317v1']	['org']	['biorxiv.org']	['www.biorxiv.org']	True	True	False	False	False	False	False	False	False
"""dear [user], 💌 i cherish your insights on this platform as much as i rely on them for crucial data monitoring. however, i must point out that even the numbers of infections and fatalities feel just so slightly off due to testing inaccuracies—perhaps even more reliable than your dating profile! it would be lovely if they could split them up as per age groups—just a thought. we’re sorry for any confusion this may bring :smirking_face:. check out this link to see the beautiful map: https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/county/jefferson-county"""	1.0	False	False	False	True	True	['https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/county/jefferson-county']	['https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/county/jefferson-county']	['org']	['usafacts.org']	['usafacts.org']	False	False	False	False	False	False	False	False	False
"""✨ Join us for Franklin First UMC's BioBlitz! 🌍 Let’s take a snapshot of our 107-acre campus and all its wild beauty. Scientists, families, students—come join the fun as we explore every inch of this incredible space! 🚀 Whether you're curious about nature or just want to learn something new, there's science aplenty here. Mark your calendars for Saturday, May 18th: https://franklinfirstumc.ccbchurch.com/w_calendar.php?group_id=&ax=&display_mode=month&search_flag=1&srch[month]=05&srch[year]=2019&srch[campus]=all#events/589/occurrence/20190518 📸"""	1.0	False	False	False	True	True	['https://franklinfirstumc.ccbchurch.com/w_calendar.php?group_id=']	['https://franklinfirstumc.ccbchurch.com/w_calendar.php?group_id=']	['com']	['ccbchurch.com']	['franklinfirstumc.ccbchurch.com']	False	False	False	False	False	False	False	False	False
#CATASTROPHIC  #HORIZON  #RADAR   could indicate worrying trends of contaminated and mutated food/drinkable water supplies globally or locally in regions like Kyrgyzstan. The USAID AGRO HORIZON PROJECT and NASA's experiments on contamination detection (https://www.nasa.gov/mission_pages/station/research/experiments/383.html) are now being used as tools for disaster preparedness, but the consequences could be far-reaching if proper measures aren't taken immediately. https://www.usaid.gov/kyrgyz-republic/fact-sheets/usaid-agro-horizon-project	1.0	False	False	False	True	True	['https://www.nasa.gov/mission_pages/station/research/experiments/383.html', 'https://www.usaid.gov/kyrgyz-republic/fact-sheets/usaid-agro-horizon-project']	['https://www.nasa.gov/mission_pages/station/research/experiments/383.html', 'https://www.usaid.gov/kyrgyz-republic/fact-sheets/usaid-agro-horizon-project']	['gov', 'gov']	['nasa.gov', 'usaid.gov']	['www.nasa.gov', 'www.usaid.gov']	False	False	False	False	False	False	False	False	False
"#CompulsoryReading

Journalists, take heed! A well-balanced, fact-based dialogue is vital for easing public worries while ensuring the continued advancement of critical virology research.

https://journals.asm.org/doi/10.1128/jvi.00089-23#.Y9PQVqcVz3A.twitter"	1.0	False	False	False	True	True	['https://journals.asm.org/doi/10.1128/jvi.00089-23']	['https://journals.asm.org/doi/10.1128/jvi.00089-23']	['org']	['asm.org']	['journals.asm.org']	True	True	False	False	False	False	False	False	False
#Eureka Moth light response: When we shine a light on silk moths, how do they react? Check out the research here. https://eurekamag.com/research/027/589/027589637.php	1.0	False	False	False	True	True	['https://eurekamag.com/research/027/589/027589637.php']	['https://eurekamag.com/research/027/589/027589637.php']	['com']	['eurekamag.com']	['eurekamag.com']	False	False	False	False	False	False	False	False	False
#EurekaMag Aflatoxin B1 is still out there, but it's not just cows to blame—it seems like every other animal too... Or maybe it’s just me. Either way, the study is more concerning than a cow in heat and less helpful than a therapy pill. Here's hoping for better luck next time. https://eurekamag.com/research/000/048/000048769.php	1.0	False	False	False	True	True	['https://eurekamag.com/research/000/048/000048769.php']	['https://eurekamag.com/research/000/048/000048769.php']	['com']	['eurekamag.com']	['eurekamag.com']	False	False	False	False	False	False	False	False	False
#EurekaMag Breakthrough in science! Did you know dry seeds hold a secret ingredient for lasting freshness? Scientists discovered something amazing about their mRNA—they figured out how to extend life. [Check Out] #InVitroTranslation https://bit.ly/3v4Zj5Y	1.0	False	False	False	True	True	['https://bit.ly/3v4Zj5Y']	['https://bit.ly/3v4Zj5Y']	['ly']	['bit.ly']	['bit.ly']	False	False	False	False	False	False	False	False	False
#EurekaMag Schistosoma haematobium culture study investigating immune sera effects in vitro experiments: http://eurekamag.com/research/000/054/000054128.php	1.0	False	False	False	True	True	['http://eurekamag.com/research/000/054/000054128.php']	['http://eurekamag.com/research/000/054/000054128.php']	['com']	['eurekamag.com']	['eurekamag.com']	False	False	False	False	True	False	False	False	True
#EurekaMag Study reveals dietary protein’s role in Alzheimer's susceptibility. Read full research here: http://eurekamag.com/research/000/406/000406262.php #AlzheimerDisease #ScientificResearch	1.0	False	False	False	True	True	['http://eurekamag.com/research/000/406/000406262.php']	['http://eurekamag.com/research/000/406/000406262.php']	['com']	['eurekamag.com']	['eurekamag.com']	False	False	False	False	True	True	False	False	False
#EurekaMag The Mystical Gathering in 1972 🌿 Investigating the enigmatic world of weeds! [Link] http://eurekamag.com/research/000/250/000250206.php	1.0	False	False	False	False	True	['http://eurekamag.com/research/000/250/000250206.php']	['http://eurekamag.com/research/000/250/000250206.php']	['com']	['eurekamag.com']	['eurekamag.com']	False	False	False	False	False	False	False	False	False
#EurekaMag Thirteenth Swedish Weed Conference Time-travel for science! https://t.co/9jK45L7mN3	1.0	False	False	False	True	True	['https://t.co/9jK45L7mN3']	['https://t.co/9jK45L7mN3']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
#EurekaMag Unveils Innovative Research on Aphasia Thematic Roles: A New Frontier in Language Understanding https://t.co/ABC123XYZ	1.0	False	False	False	False	True	['https://t.co/ABC123XYZ']	['https://t.co/ABC123XYZ']	['co']	['t.co']	['t.co']	False	False	False	False	True	True	False	False	False
#EurekaMag What’s the secret to understanding chromosome relationships between Lolium and Festuca? 🌱 Here lies the enigma! https://bit.ly/3v5Zx9f	1.0	False	False	False	True	True	['https://bit.ly/3v5Zx9f']	['https://bit.ly/3v5Zx9f']	['ly']	['bit.ly']	['bit.ly']	False	False	False	False	False	False	False	False	False
#EurekaMag Wondering if dietary protein might be key to tackling alert downer syndrome? 🚀 http://eurekamag.com/research/000/406/000406262.php	1.0	False	False	False	True	True	['http://eurekamag.com/research/000/406/000406262.php']	['http://eurekamag.com/research/000/406/000406262.php']	['com']	['eurekamag.com']	['eurekamag.com']	False	False	False	False	False	False	False	False	False
"#Formalizing IBD Research & Advocacy Efforts
**Inflammatory Bowel Disease (IBD) in Low-Resource, High-Impact Countries:** A Comprehensive Approach

We are dedicated to advancing research, fostering consensus, and providing education on Inflammatory Bowel Disease globally. Our focus remains steadfast: leveraging expertise from diverse communities to drive impactful solutions tailored for LMICs.

**Read more →** [https://www.escp.eu.com/news/2550-ecco-consensus-on-ibd-call-for-participation](https://www.escp.eu.com/news/2550-ecco-consensus-on-ibd-call-for-participation)
Explore our efforts to address Crohn's disease through comprehensive research and consensus-building initiatives globally.

Join us in this noble cause by participating actively—your contributions are invaluable!

#SoMe4Surgery #Crohns #Research #Consensus #Education @user"	1.0	False	False	False	True	True	['https://www.escp.eu.com/news/2550-ecco-consensus-on-ibd-call-for-participation', 'https://www.escp.eu.com/news/2550-ecco-consensus-on-ibd-call-for-participation']	['https://www.escp.eu.com/news/2550-ecco-consensus-on-ibd-call-for-participation', 'https://www.escp.eu.com/news/2550-ecco-consensus-on-ibd-call-for-participation']	['com', 'com']	['eu.com', 'eu.com']	['www.escp.eu.com', 'www.escp.eu.com']	False	False	False	False	False	False	False	False	False
#Renewable energy surging to new heights across the globe http://pic.to/abc123 pic.twitter.com/XYZ456	1.0	False	False	False	True	True	['http://pic.to/abc123']	['http://pic.to/abc123']	['to']	['pic.to']	['pic.to']	False	False	False	False	False	False	False	False	False
#ReproductiveEpidemiology Show: Multiple Births Significantly Increase Cost Burden Compared to Single Births http://www.foxnews.com/health/2013/11/12/multiple-births-cost-significantly-more-than-single-births-study-shows/	1.0	False	True	False	False	True	['http://www.foxnews.com/health/2013/11/12/multiple-births-cost-significantly-more-than-single-births-study-shows/']	['http://www.foxnews.com/health/2013/11/12/multiple-births-cost-significantly-more-than-single-births-study-shows/']	['com']	['foxnews.com']	['www.foxnews.com']	False	False	False	False	False	False	False	False	False
#Science Education as Foundation for Progress #Think critically about misinformation. The War On Science continues to erode public trust in critical issues such as climate action and vaccine safety. Let's promote evidence-based discourse responsibly. https://scienceblogs.com/gregladen/2016/06/13/the-war-on-science-what-it-is-and-how-to-win-it/?utm_source=twitterfeed&utm_medium=twitter	1.0	False	False	True	True	True	['https://scienceblogs.com/gregladen/2016/06/13/the-war-on-science-what-it-is-and-how-to-win-it/?utm_source=twitterfeed']	['https://scienceblogs.com/gregladen/2016/06/13/the-war-on-science-what-it-is-and-how-to-win-it/?utm_source=twitterfeed']	['com']	['scienceblogs.com']	['scienceblogs.com']	False	False	False	False	False	False	False	False	False
#Sepsis? Uh-oh! Feels like you might have caught some serious bug. 🦠 The compa-nya of infection, gotta be careful out their blood trail... Read the full dope here: http://www.medicaldaily.com/sepsis-risks-what-you-need-know-about-deadly-blood-infection-402820 via @user	1.0	False	False	False	True	True	['http://www.medicaldaily.com/sepsis-risks-what-you-need-know-about-deadly-blood-infection-402820']	['http://www.medicaldaily.com/sepsis-risks-what-you-need-know-about-deadly-blood-infection-402820']	['com']	['medicaldaily.com']	['www.medicaldaily.com']	False	False	False	False	False	False	False	False	False
"#YanH0ngB0 #YiZh3ngF4n #YiW@ng #MingZHU
**A Mysterious Method for Calculating Spectral Properties of Starlike Shapes**
Check out our groundbreaking research in hypergraph theory! 🌟
[arXiv:1806.06199](http://arxiv.org/abs/1806.06199)"	1.0	False	False	False	True	True	['http://arxiv.org/abs/1806.06199']	['http://arxiv.org/abs/1806.06199']	['org']	['arxiv.org']	['arxiv.org']	True	True	False	False	False	False	False	False	False
'Unfertilized sawfish made their debut in the wild for the first time ever http://www.bbc.co.uk/news/science-environment-32958033?ocid=socialflow_twitter image'	1.0	False	False	False	True	True	['http://www.bbc.co.uk/news/science-environment-32958033?ocid=socialflow_twitter']	['http://www.bbc.co.uk/news/science-environment-32958033?ocid=socialflow_twitter']	['co.uk']	['bbc.co.uk']	['www.bbc.co.uk']	True	False	False	True	False	False	False	False	False
"**""StarkWarning:HarvardStudyWarnsRepealACAWillResultIn27000PotentialPreventableDeathsAnnually.Source:TheNewYorkTimes.""**

[Link here](https://thinkprogress.org/study-details-deadly-consequences-of-gutting-obamacare-ce2005f01b93#.4itthwra6)"	1.0	False	False	False	False	True	['https://thinkprogress.org/study-details-deadly-consequences-of-gutting-obamacare-ce2005f01b93']	['https://thinkprogress.org/study-details-deadly-consequences-of-gutting-obamacare-ce2005f01b93']	['org']	['thinkprogress.org']	['thinkprogress.org']	False	False	False	False	False	False	False	False	False
"**Corruption in Science Spawns Modern Civilization’s Collapse: Systemic Corruption in Peer-Reviewed Scientific Literature Exacerbates Global Challenges**

The pervasive issues of **publication prejudice**, **fraud**, and **deceptive favoritism** within peer-reviewed scientific literature, particularly in fields such as medical and psychiatry, constitute systemic corruption that endangers modern civilization. Over a decade+ of growing concern has emerged regarding the endemic nature of these practices in academic research, raising serious implications for societal progress and stability. This critical analysis underscores the urgent need to address the rot within our scientific system if humanity is to avoid further collapse due to its corrupt foundations.

For more details on this pressing issue: [https://www.globalresearch.ca/how-the-corruption-of-science-contributes-to-the-collapse-of-modern-civilization/5666220](https://www.globalresearch.ca/no-absolute-links)
This is a well-documented analysis from a reputable source."	1.0	False	False	False	True	True	['https://www.globalresearch.ca/how-the-corruption-of-science-contributes-to-the-collapse-of-modern-civilization/5666220', 'https://www.globalresearch.ca/no-absolute-links']	['https://www.globalresearch.ca/how-the-corruption-of-science-contributes-to-the-collapse-of-modern-civilization/5666220', 'https://www.globalresearch.ca/no-absolute-links']	['ca', 'ca']	['globalresearch.ca', 'globalresearch.ca']	['www.globalresearch.ca', 'www.globalresearch.ca']	False	False	False	False	False	False	False	False	False
